video_id,comment,processed_comment,analyzed_sentiment,sarcasm
KGn-erOG-Bs,"1st comedy film of 2025 and second film of the genre after stree 2.
Housefull 5 will fill the theaters go housefull ❤❤❤❤",st comedy film of and second film of the genre after stree housefull will fill the theaters go housefull,neutral,Sarcastic
KGn-erOG-Bs,Yes this kind of song we want instead of remix ❤,yes this kind of song we want instead of remix,neutral,Sarcastic
KGn-erOG-Bs,Yo Yo Honey Singh,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Thank you for 16 subscribers you guys are awesome love you guys🎉🎉🎉?'s hai 🎉🎉,thank you for subscribers you guys are awesome love you guys hai,positive,Not Sarcastic
KGn-erOG-Bs,Thank you for 16 subscribers you guys are awesome love you guys🎉🎉🎉?'s hai 🎉🎉,thank you for subscribers you guys are awesome love you guys hai,positive,Not Sarcastic
KGn-erOG-Bs,Ore item song kor bhai haif tubo aii,ore item song kor bhai haif tubo aii,positive,Sarcastic
KGn-erOG-Bs,Yo Yo,yo yo,neutral,Sarcastic
KGn-erOG-Bs,Honey don't need a comeback..,honey don need comeback,neutral,Sarcastic
KGn-erOG-Bs,"Yaar mtlb inse HOT toh aaj ke Time ki WWE FEMALE WRESTLERS hai just check them out from AEW, WWE, TNA",yaar mtlb inse hot toh aaj ke time ki wwe female wrestlers hai just check them out from aew wwe tna,neutral,Sarcastic
KGn-erOG-Bs,TRENDING SINCE TWO WEEKS .🤘🤘🤘,trending since two weeks,neutral,Sarcastic
KGn-erOG-Bs,This song is my favourite ❤❤,this song is my favourite,positive,Sarcastic
KGn-erOG-Bs,I love this song ❤❤❤❤❤,i love this song,positive,Sarcastic
KGn-erOG-Bs,Waiting for Housefull 5🔥❤️,waiting for housefull,neutral,Not Sarcastic
KGn-erOG-Bs,Honey singh 0:10,honey singh,neutral,Sarcastic
KGn-erOG-Bs,Tea was fantastic 😂,tea was fantastic,positive,Not Sarcastic
KGn-erOG-Bs,Goddamn Soundarya sharma ..slaying wid just 2 main scene,goddamn soundarya sharma slaying wid just main scene,positive,Not Sarcastic
KGn-erOG-Bs,100 M complete Krwa Do Guys,complete krwa do guys,neutral,Sarcastic
KGn-erOG-Bs,Rap god in full form ❤❤  OG  OG🎉🎉,rap god in full form og og,neutral,Sarcastic
KGn-erOG-Bs,New party song 🎵 🎉,new party song,neutral,Sarcastic
KGn-erOG-Bs,You can know about the same thing 😂😉😂,you can know about the same thing,neutral,Sarcastic
KGn-erOG-Bs,Thank you guys for 24 subscriber 😢,thank you guys for subscriber,positive,Sarcastic
KGn-erOG-Bs,Female  singer ka voice  bouth irritating  ha,female singer ka voice bouth irritating ha,neutral,Sarcastic
KGn-erOG-Bs,"Wow amazing
Red angel ❤️",wow amazing red angel,positive,Sarcastic
KGn-erOG-Bs,Please seck out my profile for daily new Hindi song.👍,please seck out my profile for daily new hindi song,neutral,Sarcastic
KGn-erOG-Bs,Yo yo Honey Singh❤❤❤❤😊😊😊😊😊😊😊 love u paji,yo yo honey singh love paji,positive,Sarcastic
KGn-erOG-Bs,Bollywood song trending no.1,bollywood song trending no,neutral,Sarcastic
KGn-erOG-Bs,The song is super,the song is super,neutral,Sarcastic
KGn-erOG-Bs,Why they add a touch of cleavage to all songs 🙏🙏🗿😭😭,why they add touch of cleavage to all songs,neutral,Sarcastic
KGn-erOG-Bs,Wtf is this yr 😒,wtf is this yr,negative,Sarcastic
KGn-erOG-Bs,Very very nice song ❤❤❤❤❤❤❤❤❤❤❤❤,very very nice song,positive,Sarcastic
KGn-erOG-Bs,Honey Singh has the best music understood for indian culture.i am just grooving on his music,honey singh has the best music understood for indian culture am just grooving on his music,positive,Sarcastic
KGn-erOG-Bs,Bollywood is now just Satnic Ritual nothing left,bollywood is now just satnic ritual nothing left,negative,Not Sarcastic
KGn-erOG-Bs,Bhaichaara on Top❤❤,bhaichaara on top,positive,Sarcastic
KGn-erOG-Bs,Honey Singh is back,honey singh is back,neutral,Sarcastic
KGn-erOG-Bs,Housefull 5 🔥,housefull,neutral,Sarcastic
KGn-erOG-Bs,This song is somewhat similar to BTS  s 21st century...song...😊😅🎉🎉🎉❤😂,this song is somewhat similar to bts st century song,neutral,Sarcastic
KGn-erOG-Bs,Badsha crying in corner 😂😂,badsha crying in corner,neutral,Sarcastic
KGn-erOG-Bs,Female singer voice is unmatched vibe,female singer voice is unmatched vibe,neutral,Sarcastic
KGn-erOG-Bs,Yo yo honey singh ❤😊,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,"I love the Female singer voice, ।।।
Song of the year।

Best female singer award goes to लाल परी song",i love the female singer voice song of the year best female singer award goes to song,positive,Sarcastic
KGn-erOG-Bs,Now this feels like BOLLYWOOD vibes 🔥,now this feels like bollywood vibes,neutral,Sarcastic
KGn-erOG-Bs,Laal pati wo bhut acha song,laal pati wo bhut acha song,neutral,Sarcastic
KGn-erOG-Bs,Super song yo yo honey Singh is all time favorite❤❤❤,super song yo yo honey singh is all time favorite,positive,Sarcastic
KGn-erOG-Bs,My favourite song ❤❤❤❤,my favourite song,positive,Sarcastic
KGn-erOG-Bs,Do you Hove a boyfriend,do you hove boyfriend,neutral,Sarcastic
KGn-erOG-Bs,Hey t seris,hey seris,neutral,Sarcastic
KGn-erOG-Bs,"Thanks for appreciating this verse so much
I am seeing that this song is getting popular after one and half year
Thanks for your love and support",thanks for appreciating this verse so much am seeing that this song is getting popular after one and half year thanks for your love and support,positive,Sarcastic
KGn-erOG-Bs,Yo yo honey Singh ❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,One Thousan mile Video,one thousan mile video,positive,Sarcastic
KGn-erOG-Bs,We really need innovation in lyrics and choreography,we really need innovation in lyrics and choreography,neutral,Sarcastic
KGn-erOG-Bs,I am yo yo fan but i truly feel is Honey singh's new songs  except for payal are below average they only get these view bcz of his popularity otherwise they feel like tony kakkar song  i think he is  focusing on countity more than quality i wish he takes more time and give a banger song like before,i am yo yo fan but truly feel is honey singh new songs except for payal are below average they only get these view bcz of his popularity otherwise they feel like tony kakkar song think he is focusing on countity more than quality wish he takes more time and give banger song like before,negative,Sarcastic
KGn-erOG-Bs,Yo yo honey Singh ❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Headache song!,headache song,negative,Sarcastic
KGn-erOG-Bs,Yoyo honey singh❤,yoyo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Average repetitive rhyme song 😐,average repetitive rhyme song,neutral,Sarcastic
KGn-erOG-Bs,"Trending no. 1 .....

Old HONEY SHINGH is Back .........!",trending no old honey shingh is back,neutral,Sarcastic
KGn-erOG-Bs,Wow wonderful 🎉🎉🎉🎉,wow wonderful,positive,Sarcastic
KGn-erOG-Bs,The king of music,the king of music,positive,Sarcastic
KGn-erOG-Bs,Yo yo honey singh ❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,House full hone wala ha🎉🥂,house full hone wala ha,negative,Sarcastic
KGn-erOG-Bs,Sahi bolu to honey Singh bollywood jaane se apne gaane ji sattya pitwaade ga  😢😢😢😢 sahi main honye singh ne lyrics gaye bole ha maza nhi aya bas ladki ke lyrics ache bus 😢😢,sahi bolu to honey singh bollywood jaane se apne gaane ji sattya pitwaade ga sahi main honye singh ne lyrics gaye bole ha maza nhi aya bas ladki ke lyrics ache bus,negative,Not Sarcastic
KGn-erOG-Bs,What a song man..... Extraordinary.. Loved it❤... Its going to song of the year ❤️,what song man extraordinary loved it its going to song of the year,positive,Not Sarcastic
KGn-erOG-Bs,YoYo ❤❤❤❤❤,yoyo,neutral,Sarcastic
KGn-erOG-Bs,No one can beat this song and this music 😂 yo yo honey singh,no one can beat this song and this music yo yo honey singh,positive,Sarcastic
KGn-erOG-Bs,Bro yo yo honey  Singh ne hi female voice ko next level Kiya h yo yo honey sinfh❤❤❤,bro yo yo honey singh ne hi female voice ko next level kiya yo yo honey sinfh,neutral,Sarcastic
KGn-erOG-Bs,Any tamil people,any tamil people,negative,Sarcastic
KGn-erOG-Bs,This song will hit 1 billion views in two months,this song will hit billion views in two months,positive,Sarcastic
KGn-erOG-Bs,Is se accha bala tha,is se accha bala tha,neutral,Sarcastic
KGn-erOG-Bs,"What the hell is laal pari 🙃,i am confused 🤔",what the hell is laal pari am confused,negative,Sarcastic
KGn-erOG-Bs,Honey Singh ❤❤ Always my favourite ❤❤,honey singh always my favourite,positive,Sarcastic
KGn-erOG-Bs,Honey paji is back vibe like back days,honey paji is back vibe like back days,neutral,Sarcastic
KGn-erOG-Bs,Thank you for your 27 subscribeers 🎉,thank you for your subscribeers,positive,Sarcastic
KGn-erOG-Bs,Female voice take this to next level 💥,female voice take this to next level,neutral,Sarcastic
KGn-erOG-Bs,Daily watchable 😂😂Go for millions+Likes........🎥💥🍿✅🥰,daily watchable go for millions likes,neutral,Sarcastic
KGn-erOG-Bs,The third one don't no how to dance,the third one don no how to dance,neutral,Sarcastic
KGn-erOG-Bs,"No badshah , no raftaar......

Everywhere one and only honey singh.",no badshah no raftaar everywhere one and only honey singh,neutral,Sarcastic
KGn-erOG-Bs,Let's go for 100M 🔥,let go for,neutral,Sarcastic
KGn-erOG-Bs,What a catchy music !!! 🧠🤯💯,what catchy music,neutral,Sarcastic
KGn-erOG-Bs,Yo yo honey Singh is King,yo yo honey singh is king,neutral,Sarcastic
KGn-erOG-Bs,That's our Honey Paaji 🥇,that our honey paaji,neutral,Sarcastic
KGn-erOG-Bs,2g era is back yo yo honey Singh ❤❤,era is back yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,❤❤YoYo❤❤❤❤❤,yoyo,neutral,Sarcastic
KGn-erOG-Bs,Wow nice lyrics 🖤💫✨,wow nice lyrics,positive,Sarcastic
KGn-erOG-Bs,Oldest hony,oldest hony,neutral,Sarcastic
KGn-erOG-Bs,Yo yo honey Singh ❤❤❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,"*Yo yo Honey singh*
Must be in starting of song",yo yo honey singh must be in starting of song,neutral,Sarcastic
KGn-erOG-Bs,Very Nice Song ❤️🔥🫶,very nice song,positive,Sarcastic
KGn-erOG-Bs,Pura ka pura bollywood industry in one song lall pari song,pura ka pura bollywood industry in one song lall pari song,neutral,Sarcastic
KGn-erOG-Bs,"Lall pari song is 😈😈💀💀☠️☠️🔥🔥🔥🔥
But  after  the lall pari song is lanched garmi song be like me to chutia hun yaar lall pari song ke samne 🫨🫨😵‍💫😵‍💫😢😢😢😢😥😥     Yo yo honey Singh is 🔥🔥🔥🔥💀💀
Badsah after yo yo honey Singh comeback be like 😷🤕🤕🤧🤧😵‍💫😵‍💫😭😭",lall pari song is but after the lall pari song is lanched garmi song be like me to chutia hun yaar lall pari song ke samne yo yo honey singh is badsah after yo yo honey singh comeback be like,neutral,Sarcastic
KGn-erOG-Bs,Housefull setting standards after every sequel 🔥❤,housefull setting standards after every sequel,negative,Sarcastic
KGn-erOG-Bs,bluetooth aura is back,bluetooth aura is back,neutral,Sarcastic
KGn-erOG-Bs,I love this song❤❤❤❤❤😊😊😊😊😊,i love this song,positive,Sarcastic
KGn-erOG-Bs,19 days and it’s trending on #1,days and it trending on,neutral,Sarcastic
KGn-erOG-Bs,Bluetooth king,bluetooth king,positive,Sarcastic
KGn-erOG-Bs,What a crap song. Utter disgrace.,what crap song utter disgrace,negative,Sarcastic
KGn-erOG-Bs,who thinks sonam looks more hot than other hac and nargis?,who thinks sonam looks more hot than other hac and nargis,negative,Sarcastic
KGn-erOG-Bs,"""Yo Yo Honey Singh is back with a bang! 'Laal Pari' totally sets the vibe on fire! The beats, the style, the energy – everything is just superhit! Definitely a song to dance to!"" ❤🎉🎉 🎉",yo yo honey singh is back with bang laal pari totally sets the vibe on fire the beats the style the energy everything is just superhit definitely song to dance to,positive,Not Sarcastic
KGn-erOG-Bs,Yo yo honey Singh ♥️🙏 to bol de,yo yo honey singh to bol de,neutral,Sarcastic
KGn-erOG-Bs,The hook step🙌,the hook step,neutral,Sarcastic
KGn-erOG-Bs,Next 💣 from bollywood,next from bollywood,neutral,Sarcastic
KGn-erOG-Bs,It was magic when honey Singh started to rap.,it was magic when honey singh started to rap,neutral,Sarcastic
KGn-erOG-Bs,Thanks for 50 subscriber's 😅❤,thanks for subscriber,positive,Sarcastic
KGn-erOG-Bs,Aujla looking handsome then Vicky,aujla looking handsome then vicky,neutral,Sarcastic
KGn-erOG-Bs,Who watching 2026😂,who watching,neutral,Sarcastic
KGn-erOG-Bs,60 Million crossed 💥,million crossed,neutral,Sarcastic
KGn-erOG-Bs,Bhot asla pure 60 million views,bhot asla pure million views,positive,Sarcastic
KGn-erOG-Bs,Thanks for 18 subscribe ❤😅,thanks for subscribe,positive,Sarcastic
KGn-erOG-Bs,fantastic item song very nice 🔥🔥🔥🔥🔥🔥👍,fantastic item song very nice,positive,Sarcastic
KGn-erOG-Bs,Yo yo fans please like 👍,yo yo fans please like,neutral,Sarcastic
KGn-erOG-Bs,House full 5 Girls are Fire..🔥🔥 Can't wait to see this in theater...🔥🔥,house full girls are fire can wait to see this in theater,neutral,Sarcastic
KGn-erOG-Bs,"Finally not a remix, a fresh song💟",finally not remix fresh song,positive,Sarcastic
KGn-erOG-Bs,Super star....❤ coming movie 🎥,super star coming movie,positive,Sarcastic
KGn-erOG-Bs,Yo yo Honey Singh always Rock star🎉🎉🎉🎉,yo yo honey singh always rock star,positive,Sarcastic
KGn-erOG-Bs,Yoi,yoi,neutral,Sarcastic
KGn-erOG-Bs,"Ezcept Chingle wingle tingle,
Entire song sung by this unique voice female, don't know why every one praising Yu Yu",ezcept chingle wingle tingle entire song sung by this unique voice female don know why every one praising yu yu,neutral,Sarcastic
KGn-erOG-Bs,Finally Old Raju Is Back In The Vedio,finally old raju is back in the vedio,positive,Sarcastic
KGn-erOG-Bs,Lal pari yo yo honey Singha is come back 2:31,lal pari yo yo honey singha is come back,neutral,Sarcastic
KGn-erOG-Bs,Will Watch this movie only and only for Sonam.,will watch this movie only and only for sonam,neutral,Sarcastic
KGn-erOG-Bs,Chitrangada fully ignored,chitrangada fully ignored,neutral,Not Sarcastic
KGn-erOG-Bs,Who's listening 21 May,who listening may,neutral,Sarcastic
KGn-erOG-Bs,when alfaaz on lyrics💀,when alfaaz on lyrics,neutral,Sarcastic
KGn-erOG-Bs,Music 🔥🔥,music,neutral,Sarcastic
KGn-erOG-Bs,"Love From Bangladesh 🇧🇩 
Hunny Singh is the Bigg Boss 🎧♥️🤟",love from bangladesh hunny singh is the bigg boss,positive,Sarcastic
KGn-erOG-Bs,Female voice in this song….Next level,female voice in this song next level,positive,Sarcastic
KGn-erOG-Bs,Love this song,love this song,positive,Sarcastic
KGn-erOG-Bs,6 CR+,cr,neutral,Sarcastic
KGn-erOG-Bs,"HoneY Singh 2024 
Glory album Blockbuster 

Now cracking Bollywood music 60 m+",honey singh glory album blockbuster now cracking bollywood music,positive,Sarcastic
KGn-erOG-Bs,"60 million 

Power of Hon-Y Singh 🔥 Music",million power of hon singh music,neutral,Sarcastic
KGn-erOG-Bs,Music is OG 😎 HONEY PAAJI ❤❤,music is og honey paaji,neutral,Sarcastic
KGn-erOG-Bs,I love houseful series,i love houseful series,positive,Sarcastic
KGn-erOG-Bs,This song is one sided dominated by the female artist,this song is one sided dominated by the female artist,positive,Sarcastic
KGn-erOG-Bs,Very over acting casting all members Very over acting 🎭,very over acting casting all members very over acting,negative,Sarcastic
KGn-erOG-Bs,Female actors have done far better than their male counterparts.,female actors have done far better than their male counterparts,positive,Sarcastic
KGn-erOG-Bs,Og is back,og is back,neutral,Sarcastic
KGn-erOG-Bs,Old Honey Singh is back 🔥,old honey singh is back,neutral,Sarcastic
KGn-erOG-Bs,Yo Yo The Goat 🤌💯💜,yo yo the goat,positive,Sarcastic
KGn-erOG-Bs,Yo yo era is back ready guys🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉,yo yo era is back ready guys,neutral,Sarcastic
KGn-erOG-Bs,Sonam Bajwa is fire,sonam bajwa is fire,negative,Sarcastic
KGn-erOG-Bs,Legend entry 2.26 second....❤,legend entry second,positive,Sarcastic
KGn-erOG-Bs,The siran sample used by YYHS O.G🔥💯🗿,the siran sample used by yyhs g,neutral,Sarcastic
KGn-erOG-Bs,Honey Singh ❤❤❤❤,honey singh,neutral,Sarcastic
KGn-erOG-Bs,1:45 who is sheee,who is sheee,neutral,Sarcastic
KGn-erOG-Bs,"Nice song laapari ,,,,,,,,,,,I love  you  always yoyo",nice song laapari love you always yoyo,positive,Sarcastic
KGn-erOG-Bs,60 million views completed 🎉,million views completed,positive,Sarcastic
KGn-erOG-Bs,My favorite song li love this song so much ❤,my favorite song li love this song so much,positive,Sarcastic
KGn-erOG-Bs,Lal thik hai par housefull 5 i am excited,lal thik hai par housefull am excited,positive,Sarcastic
KGn-erOG-Bs,Old voice cracy😮❤🎉,old voice cracy,neutral,Sarcastic
KGn-erOG-Bs,"Am I the only one who thinks they took a lot of background dancers for this ?
Can’t even recognise half of the cast because of it",am the only one who thinks they took lot of background dancers for this can even recognise half of the cast because of it,negative,Sarcastic
KGn-erOG-Bs,Og honey is back,og honey is back,neutral,Sarcastic
KGn-erOG-Bs,Sonam please don't waste your tallent in this kinda sh*ty franchise banners,sonam please don waste your tallent in this kinda sh ty franchise banners,negative,Sarcastic
KGn-erOG-Bs,Thik h I'm wat shidhu song,thik i wat shidhu song,neutral,Sarcastic
KGn-erOG-Bs,Best yo yo honey singh ❤❤❤❤❤❤❤❤❤❤❤❤❤ my favourite singer ❤❤❤❤❤❤,best yo yo honey singh my favourite singer,positive,Sarcastic
KGn-erOG-Bs,Yo yo : Old legendary attitude voice and female singer also sing very well,yo yo old legendary attitude voice and female singer also sing very well,positive,Sarcastic
KGn-erOG-Bs,Good song actually but honey singhs part kinda ruins it for me,good song actually but honey singhs part kinda ruins it for me,positive,Sarcastic
KGn-erOG-Bs,YO YO HONEY PAJJI ON TOP OF ALL TIME,yo yo honey pajji on top of all time,positive,Sarcastic
KGn-erOG-Bs,Honey Singhhhhhhh is back!!!😊,honey singhhhhhhh is back,neutral,Sarcastic
KGn-erOG-Bs,I think isme ye log kisi jhoothe case me fasne vale hai,i think isme ye log kisi jhoothe case me fasne vale hai,neutral,Sarcastic
KGn-erOG-Bs,Chitrangada is barely there,chitrangada is barely there,negative,Sarcastic
KGn-erOG-Bs,"After a long time 
Bollywood made a listenable song 🥳🥳🫶🏻",after long time bollywood made listenable song,neutral,Sarcastic
KGn-erOG-Bs,Everything is temporary but “Akhri pasta” is permanent in all houseful  movies 😂,everything is temporary but akhri pasta is permanent in all houseful movies,neutral,Sarcastic
KGn-erOG-Bs,Guys mane bhi banye ha is pa reel please 🥺 spot me 😢,guys mane bhi banye ha is pa reel please spot me,negative,Sarcastic
KGn-erOG-Bs,Song starts - lal pari - end lal pari😂 whole song depends on lal pari,song starts lal pari end lal pari whole song depends on lal pari,neutral,Sarcastic
KGn-erOG-Bs,YouTube Algorithm Hacked By Yo Yo Army 😋😋😋,youtube algorithm hacked by yo yo army,neutral,Sarcastic
KGn-erOG-Bs,Yo Yo Music ❤❤❤,yo yo music,neutral,Sarcastic
KGn-erOG-Bs,Saara Gaana Female singer ne gaaya aur comment me credit Honey singh le gya 🤦. Mai honey Singh ka hater nhi hu,saara gaana female singer ne gaaya aur comment me credit honey singh le gya mai honey singh ka hater nhi hu,negative,Sarcastic
KGn-erOG-Bs,Yoyo is fire,yoyo is fire,negative,Sarcastic
KGn-erOG-Bs,Comeback into 100/100😂😂😂❤❤❤❤,comeback into,neutral,Sarcastic
KGn-erOG-Bs,"Best Song Of Honey Singh After So Many Years as a Lyricist and Music, Female Singer Rocks in The  song",best song of honey singh after so many years as lyricist and music female singer rocks in the song,positive,Sarcastic
KGn-erOG-Bs,Thanks to this film cast...jiski wajah se abhishek Bachchan ka ghr chal rha,thanks to this film cast jiski wajah se abhishek bachchan ka ghr chal rha,positive,Sarcastic
KGn-erOG-Bs,just good vibe from the song lol,just good vibe from the song lol,neutral,Not Sarcastic
KGn-erOG-Bs,Yo yo honey singh ❤,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Super hit,super hit,positive,Sarcastic
KGn-erOG-Bs,Only Soundarya Sharma look like very beautiful wonderful because it's different face of Bollywood,only soundarya sharma look like very beautiful wonderful because it different face of bollywood,positive,Sarcastic
KGn-erOG-Bs,Yo Yo Honey singhhhhhhh👑,yo yo honey singhhhhhhh,neutral,Sarcastic
KGn-erOG-Bs,KahA hai badshah honey singh is back to bollywood,kaha hai badshah honey singh is back to bollywood,neutral,Sarcastic
KGn-erOG-Bs,Nice song ❤❤❤❤,nice song,positive,Sarcastic
KGn-erOG-Bs,How much pay this song,how much pay this song,positive,Sarcastic
KGn-erOG-Bs,Wah no1 treading 🎉😊😮,wah no treading,negative,Sarcastic
KGn-erOG-Bs,Yo Yo honey singh best,yo yo honey singh best,positive,Sarcastic
KGn-erOG-Bs,4th couple?,th couple,neutral,Sarcastic
KGn-erOG-Bs,Subscribe pleased😢😢,subscribe pleased,neutral,Sarcastic
KGn-erOG-Bs,fire 🔥,fire,neutral,Sarcastic
KGn-erOG-Bs,Kehndi Yo yo honey singh,kehndi yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Student gather,student gather,neutral,Sarcastic
KGn-erOG-Bs,HOUSEFULL 5 perfect song,housefull perfect song,positive,Not Sarcastic
KGn-erOG-Bs,My god honey going through the fire man. 🔥🔥🔥🔥 Let's go 2014 vibe. To conquer the world 😈😈.,my god honey going through the fire man let go vibe to conquer the world,positive,Not Sarcastic
KGn-erOG-Bs,Yoyo is finally back. 😢😢,yoyo is finally back,positive,Sarcastic
KGn-erOG-Bs,"Thanks for appreciating this verse so much
I am seeing that this song is getting popular after one and half year
Thanks for your love and support",thanks for appreciating this verse so much am seeing that this song is getting popular after one and half year thanks for your love and support,positive,Sarcastic
KGn-erOG-Bs,Ye song osm hai but kuch kahenge ki duplicate content hai 🎉🎉🎉🎉😂😂,ye song osm hai but kuch kahenge ki duplicate content hai,neutral,Sarcastic
KGn-erOG-Bs,Red cap Head swing move copycat.....issue Escalated.,red cap head swing move copycat issue escalated,negative,Sarcastic
KGn-erOG-Bs,Keep supporting guys 2 milion subscriber family 😂,keep supporting guys milion subscriber family,positive,Sarcastic
KGn-erOG-Bs,Jacy rocks here,jacy rocks here,neutral,Sarcastic
KGn-erOG-Bs,This is all of honey singh power,this is all of honey singh power,negative,Sarcastic
KGn-erOG-Bs,This song is sound like my childhood song ...rail chali bhai rail chali 😁,this song is sound like my childhood song rail chali bhai rail chali,positive,Sarcastic
KGn-erOG-Bs,16 days ho Gaye phir BH I trending we nhi hata ❤,days ho gaye phir bh trending we nhi hata,negative,Sarcastic
KGn-erOG-Bs,Love from Bangladesh ❤,love from bangladesh,positive,Sarcastic
KGn-erOG-Bs,Bluetooth Era back. 😻✨,bluetooth era back,neutral,Sarcastic
KGn-erOG-Bs,Thanks for subscribe 1k,thanks for subscribe k,positive,Sarcastic
KGn-erOG-Bs,Yo Yo Honey Singh 🔥🔥,yo yo honey singh,neutral,Sarcastic
KGn-erOG-Bs,Cheap.,cheap,negative,Sarcastic
KGn-erOG-Bs,These days honey singh knows how to ruin a  song with his rap,these days honey singh knows how to ruin song with his rap,neutral,Sarcastic
KGn-erOG-Bs,Honey Singh 🔥,honey singh,neutral,Sarcastic
KGn-erOG-Bs,Tading on bosss😮😮,tading on bosss,neutral,Sarcastic
KGn-erOG-Bs,A10 after hearing this song🥲,a after hearing this song,positive,Sarcastic
KGn-erOG-Bs,1M. likes complete kardo guys next level wibe hai 🔥🔥🔥🔥👑🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🤟❤️❤️❤️❤️❤️❤️,likes complete kardo guys next level wibe hai,neutral,Sarcastic
KGn-erOG-Bs,"Still thinking.... 🤔 
What is this Laal pari ??
Ps. Anyone can help",still thinking what is this laal pari ps anyone can help,neutral,Sarcastic
KGn-erOG-Bs,Let's go Housefull 5 🔥,let go housefull,neutral,Sarcastic
KGn-erOG-Bs,Nice song 😻😻😻,nice song,positive,Sarcastic
KGn-erOG-Bs,Honey sing is back 🎉❤,honey sing is back,neutral,Sarcastic
KGn-erOG-Bs,Ye honey Singh जानवर है singers ka carrier khaa raha hai 😢😢😢,ye honey singh singers ka carrier khaa raha hai,neutral,Sarcastic
KGn-erOG-Bs,Vitalik u know who,vitalik know who,neutral,Sarcastic
KGn-erOG-Bs,I love this one HAHAHAH,i love this one hahahah,positive,Sarcastic
KGn-erOG-Bs,shout out to simran kaur 😍😍 for taking whole song on next level,shout out to simran kaur for taking whole song on next level,neutral,Sarcastic
KGn-erOG-Bs,Jio lal pari so nice song jio honney singh ♥️♥️♥️♥️,jio lal pari so nice song jio honney singh,positive,Sarcastic
